hourly values;
lexingtonProject1;
Monthly Hourly averages for E_Grid  [kW];
;0H;1H;2H;3H;4H;5H;6H;7H;8H;9H;10H;11H;12H;13H;14H;15H;16H;17H;18H;19H;20H;21H;22H;23H;
Janvier;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.93;1.40;1.59;1.73;1.86;1.70;1.29;0.69;0.01;0.00;0.00;0.00;0.00;0.00;0.00;
Février;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.47;1.15;1.56;1.72;1.97;1.98;1.93;1.71;1.20;0.44;0.00;0.00;0.00;0.00;0.00;0.00;
Mars;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.16;0.77;1.46;1.92;2.31;2.53;2.57;2.30;1.87;1.20;0.55;0.02;0.00;0.00;0.00;0.00;0.00;
Avril;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.52;1.22;1.84;2.25;2.40;2.50;2.51;2.25;1.85;1.31;0.65;0.11;0.00;0.00;0.00;0.00;0.00;
Mai;0.00;0.00;0.00;0.00;0.00;0.00;0.16;0.65;1.30;1.83;2.21;2.40;2.57;2.49;2.27;1.89;1.41;0.76;0.23;0.01;0.00;0.00;0.00;0.00;
Juin;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.62;1.22;1.81;2.19;2.37;2.52;2.64;2.45;2.00;1.43;0.86;0.31;0.05;0.00;0.00;0.00;0.00;
Juillet;0.00;0.00;0.00;0.00;0.00;0.00;0.16;0.59;1.24;1.86;2.40;2.31;2.49;2.39;2.20;1.84;1.42;0.84;0.31;0.04;0.00;0.00;0.00;0.00;
Août;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.54;1.20;1.84;2.33;2.54;2.68;2.62;2.33;2.00;1.49;0.83;0.21;0.01;0.00;0.00;0.00;0.00;
Septembre;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.45;1.13;1.72;2.17;2.46;2.51;2.47;2.17;1.73;1.15;0.50;0.03;0.00;0.00;0.00;0.00;0.00;
Octobre;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.30;1.02;1.60;2.11;2.42;2.45;2.36;2.09;1.59;0.88;0.15;0.00;0.00;0.00;0.00;0.00;0.00;
Novembre;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.59;1.16;1.54;1.72;1.69;1.89;1.55;1.21;0.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
Décembre;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.37;0.83;1.21;1.58;1.60;1.89;1.70;1.16;0.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
Année;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.32;0.91;1.50;1.94;2.15;2.27;2.31;2.08;1.68;1.11;0.47;0.10;0.01;0.00;0.00;0.00;0.00;
